,ACCOUNTSPAYABLEANDACCRUEDLIABILITIESCURRENT,ACCOUNTSPAYABLECURRENT,ACCOUNTSPAYABLEOTHERCURRENT,ACCOUNTSPAYABLERELATEDPARTIESCURRENT,ACCOUNTSPAYABLETRADECURRENT,ACCRUEDLIABILITIESCURRENT,BANKOVERDRAFTS,BRIDGELOAN,CAPITALLEASEOBLIGATIONSCURRENT,CAPITALLEASEOBLIGATIONSNONCURRENT,CIK,COMMERCIALPAPER,COMMERCIALPAPERNONCURRENT,CONSTRUCTIONLOAN,CONSTRUCTIONLOANNONCURRENT,CONVERTIBLEDEBTCURRENT,CONVERTIBLEDEBTNONCURRENT,CONVERTIBLELONGTERMNOTESPAYABLE,CONVERTIBLENOTESPAYABLECURRENT,CONVERTIBLESUBORDINATEDDEBTCURRENT,CONVERTIBLESUBORDINATEDDEBTNONCURRENT,DATE,DEBTCURRENT,EXTRACTCODE,FINALLONGTERM,FINALSHORTTERM,JUNIORSUBORDINATEDLONGTERMNOTES,JUNIORSUBORDINATEDNOTESCURRENT,LIABILITIESCURRENT,LIABILITIESNONCURRENT,LIABILITIESOTHERTHANLONGTERMDEBTNONCURRENT,LINESOFCREDITCURRENT,LOANSPAYABLECURRENT,LOANSPAYABLETOBANKCURRENT,LONGTERMCOMMERCIALPAPERCURRENT,LONGTERMCONSTRUCTIONLOANCURRENT,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONS,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONSCURRENT,LONGTERMDEBTCURRENT,LONGTERMDEBTNONCURRENT,LONGTERMLINEOFCREDIT,LONGTERMLOANSFROMBANK,LONGTERMLOANSPAYABLE,LONGTERMNOTESANDLOANS,LONGTERMNOTESPAYABLE,LONGTERMPOLLUTIONCONTROLBOND,LONGTERMPOLLUTIONCONTROLBONDCURRENT,LONGTERMTRANSITIONBOND,LONGTERMTRANSITIONBONDCURRENT,MEDIUMTERMNOTESCURRENT,NAME,NOTESANDLOANSPAYABLECURRENT,NOTESPAYABLECURRENT,NOTESPAYABLETOBANKCURRENT,NOTESPAYABLETOBANKNONCURRENT,OTHERACCRUEDLIABILITIESCURRENT,OTHERLIABILITIESCURRENT,OTHERLOANSPAYABLECURRENT,OTHERLOANSPAYABLELONGTERM,OTHERLONGTERMDEBTCURRENT,OTHERLONGTERMDEBTNONCURRENT,OTHERLONGTERMNOTESPAYABLE,OTHERNOTESPAYABLECURRENT,OTHERSHORTTERMBORROWINGS,SECUREDDEBTCURRENT,SECUREDLONGTERMDEBT,SECURITIESSOLDUNDERAGREEMENTSTOREPURCHASE,SENIORLONGTERMNOTES,SENIORNOTESCURRENT,SHORTTERMBANKLOANSANDNOTESPAYABLE,SHORTTERMBORROWINGS,SHORTTERMNONBANKLOANSANDNOTESPAYABLE,SUBORDINATEDDEBTCURRENT,SUBORDINATEDLONGTERMDEBT,UNSECUREDDEBTCURRENT,UNSECUREDLONGTERMDEBT,WAREHOUSEAGREEMENTBORROWINGS
0,327445.0,,,,,,,,,,1507964,,,,,,,,,,,2017-01-12,,XBRL,,327445.0,,,327445.0,,,,,,,,,,,,,,,,,,,,,,Corvus Gold Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,
1,258414.0,258414.0,,,,,,,,,58822,,,,,,,,,,,2017-01-12,268765.0,XBRL,,268765.0,,,527179.0,,,,268765.0,,,,,268765.0,268765.0,,,,,,,,,,,,LESCARDEN INC,268765.0,,,,,,,,,,,,,,,,,,,,,,,,,
2,191357.0,89300.0,,89300.0,,12757.0,,,,,1126115,,,,,,,,,,,2017-01-12,,XBRL,36257.0,191357.0,,,143584.0,,,,,,,,36257.0,,,,,,,,,,,,,,"LZG INTERNATIONAL, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,
3,598681.0,553446.0,,,,45235.0,,,,,1099215,,,,,,,,,,,2017-01-12,,XBRL,,598681.0,,,598681.0,,,,,,,,,,,,,,,,,,,,,,PROTALEX INC,,,,,,,,,,,,,,,,,,,,,,,,,,
4,547701.0,83092.0,,,,3475.0,,,,,1591615,,,,,,,,,,,2017-01-12,,XBRL,,547701.0,,,1100626.0,,,,,,,,,,,,,,,,,,,,,,"Poverty Dignified, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
5,9467.0,,,,,9467.0,,,,,1446152,,,,,,,,,,,2017-01-12,10717.0,XBRL,,10717.0,,,26684.0,,,,,,,,,10717.0,10717.0,,,,,,,,,,,,"SAUER ENERGY, INC.",10717.0,10717.0,,,,,,,,,,,,,,,,,,,,,,,,
6,793678.0,486963.0,,,,,,,,,922612,,,,,,,,,,,2017-01-12,,XBRL,,793678.0,,,1143929.0,,,,,,,,,,,,,,,,,,,,,,SCHMITT INDUSTRIES INC,,,,,306715.0,,,,,,,,,,,,,,,,,,,,,
7,6769000.0,,,,4013000.0,,,,,,90896,,,,,,,,,,,2017-01-12,,XBRL,11758000.0,6769000.0,,,20625000.0,11758000.0,,,,,,,,,,,,,,,,,,,,,SKYLINE CORP,,,,,2756000.0,,,,,,,,,,,,,,,,,,,,,
8,252863.0,165034.0,,,,,,,,,1535635,,,,,48573.0,,,,,,2017-01-12,48573.0,XBRL,,48573.0,,,487362.0,,,,,,,,,48573.0,48573.0,,,,,,,,,,,,Service Team Inc.,,,,,87829.0,,,,,,,,,,,,,,,,,,,,,
9,163182.0,87457.0,,,,,,,,,1471727,,,,,0.0,,,440000.0,,,2017-01-12,440000.0,XBRL,,440000.0,,,791062.0,,,,,,,,,440000.0,440000.0,,,,,,,,,,,,"Sport Endurance, Inc.",440000.0,440000.0,,,,,,,,,,,,,,,,,,,,,,,,
0,2041703.0,2041703.0,,,,,,,,,96536,,,,,,,,,,,2017-01-12,,XBRL,682985.0,2041703.0,,,5435021.0,682985.0,,,,,,,,,,,,,,,,,,,,,TAYLOR DEVICES INC,,,,,,1656329.0,,,,,,,,,,,,,,,,,,,,
