,ACCOUNTSPAYABLEANDACCRUEDLIABILITIESCURRENT,ACCOUNTSPAYABLECURRENT,ACCOUNTSPAYABLEOTHERCURRENT,ACCOUNTSPAYABLERELATEDPARTIESCURRENT,ACCOUNTSPAYABLETRADECURRENT,ACCRUEDLIABILITIESCURRENT,BANKOVERDRAFTS,BRIDGELOAN,CAPITALLEASEOBLIGATIONSCURRENT,CAPITALLEASEOBLIGATIONSNONCURRENT,CIK,COMMERCIALPAPER,COMMERCIALPAPERNONCURRENT,CONSTRUCTIONLOAN,CONSTRUCTIONLOANNONCURRENT,CONVERTIBLEDEBTCURRENT,CONVERTIBLEDEBTNONCURRENT,CONVERTIBLELONGTERMNOTESPAYABLE,CONVERTIBLENOTESPAYABLECURRENT,CONVERTIBLESUBORDINATEDDEBTCURRENT,CONVERTIBLESUBORDINATEDDEBTNONCURRENT,DATE,DEBTCURRENT,EXTRACTCODE,FINALLONGTERM,FINALSHORTTERM,JUNIORSUBORDINATEDLONGTERMNOTES,JUNIORSUBORDINATEDNOTESCURRENT,LIABILITIESCURRENT,LIABILITIESNONCURRENT,LIABILITIESOTHERTHANLONGTERMDEBTNONCURRENT,LINESOFCREDITCURRENT,LOANSPAYABLECURRENT,LOANSPAYABLETOBANKCURRENT,LONGTERMCOMMERCIALPAPERCURRENT,LONGTERMCONSTRUCTIONLOANCURRENT,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONS,LONGTERMDEBTANDCAPITALLEASEOBLIGATIONSCURRENT,LONGTERMDEBTCURRENT,LONGTERMDEBTNONCURRENT,LONGTERMLINEOFCREDIT,LONGTERMLOANSFROMBANK,LONGTERMLOANSPAYABLE,LONGTERMNOTESANDLOANS,LONGTERMNOTESPAYABLE,LONGTERMPOLLUTIONCONTROLBOND,LONGTERMPOLLUTIONCONTROLBONDCURRENT,LONGTERMTRANSITIONBOND,LONGTERMTRANSITIONBONDCURRENT,MEDIUMTERMNOTESCURRENT,NAME,NOTESANDLOANSPAYABLECURRENT,NOTESPAYABLECURRENT,NOTESPAYABLETOBANKCURRENT,NOTESPAYABLETOBANKNONCURRENT,OTHERACCRUEDLIABILITIESCURRENT,OTHERLIABILITIESCURRENT,OTHERLOANSPAYABLECURRENT,OTHERLOANSPAYABLELONGTERM,OTHERLONGTERMDEBTCURRENT,OTHERLONGTERMDEBTNONCURRENT,OTHERLONGTERMNOTESPAYABLE,OTHERNOTESPAYABLECURRENT,OTHERSHORTTERMBORROWINGS,SECUREDDEBTCURRENT,SECUREDLONGTERMDEBT,SECURITIESSOLDUNDERAGREEMENTSTOREPURCHASE,SENIORLONGTERMNOTES,SENIORNOTESCURRENT,SHORTTERMBANKLOANSANDNOTESPAYABLE,SHORTTERMBORROWINGS,SHORTTERMNONBANKLOANSANDNOTESPAYABLE,SUBORDINATEDDEBTCURRENT,SUBORDINATEDLONGTERMDEBT,UNSECUREDDEBTCURRENT,UNSECUREDLONGTERMDEBT,WAREHOUSEAGREEMENTBORROWINGS
3,372900000.0,256600000.0,,,,,,,,,1144215,,,,,,,,,,,2014-07-01,,XBRL,353600000.0,372900000.0,,,408700000.0,,,,,,,,,,,353600000.0,,,,,,,,,,,ACUITY BRANDS INC,,,,,116300000.0,,,,,,,,,,,,,,,,,,,,,
4,163338.0,163338.0,,,,,,,,,1269022,,,,,,,,,,,2014-07-01,,HTML,505297.0,163338.0,,,265219.0,505297.0,,,,,,,,,,,,,,,,,,,,,ATOMIC PAINTBALL INC,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1625.0,,,,,,,,,,1409493,,,,,,,,,,,2014-07-01,,HTML,3336880.0,1625.0,,,1625.0,3336880.0,,,,,,,,,,,,,,,,,,,,,CHIMERA INVESTMENT CORP,,,,,,,,,,,,,,,,,,,,,,,,,,
6,690646000.0,,,,392706000.0,297940000.0,,,,,22444,,,,,,,,,,,2014-07-01,11787000.0,XBRL,1276729000.0,4640000.0,,,818622000.0,,,,,,,,1276729000.0,7147000.0,,,,,,,,,,,,,COMMERCIAL METALS CO,,,,,,,,,,,,,,,,,,,4640000.0,4640000.0,,,,,,
7,20314000.0,20314000.0,,,,,,,,,730255,,,,,,,,,,,2014-07-01,1194000.0,XBRL,476000.0,1194000.0,,,38991000.0,,,,,,,,,1194000.0,1194000.0,476000.0,,,,,,,,,,,CalAmp Corp.,,,,,,5188000.0,,,,,,,,,,,,,,,,,,,,
8,23707000.0,21290000.0,,,,,,,,,33002,,,,,,,,,,,2014-07-01,,XBRL,105500000.0,23707000.0,,,42591000.0,,,,,,,,,,,105500000.0,,,,,,,,,,,"ENNIS, INC.",,,,,2417000.0,,,,,,,,,,,,,,,,,,,,,
9,4881000000.0,,,,4881000000.0,,,,,,56873,,,,,,,,,,,2014-07-01,1657000000.0,XBRL,9164000000.0,1657000000.0,,,10705000000.0,,,,,,,,9654000000.0,1657000000.0,1616000000.0,9164000000.0,,,,,,,,,,,KROGER CO,,,,,,2769000000.0,,,,,,,,,,,,,,,,,,,,
0,356583.0,,,139308.0,,,,,,,1313938,,,,,,,,,,,2014-07-01,,XBRL,,356583.0,,,356583.0,,,,,,,,,,,,,,,,,,,,,,"Naprodis, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
1,1028984.0,,,309072.0,,,,,,,1005758,,,,,,,,,,,2014-07-01,400000.0,XBRL,,400000.0,,,1659513.0,,,,,,,,,400000.0,400000.0,,,,,,,,,,,,"Radioio, Inc.",400000.0,400000.0,,,,400000.0,,,,,,,,,,,,,,,,,,,,
2,354716000.0,310098000.0,,,,,,,,324000.0,87565,,,,,,,,,,,2014-07-01,21955000.0,XBRL,237918000.0,21955000.0,,,436036000.0,,,,,,,,292742000.0,13425000.0,13425000.0,237918000.0,,,,54793000.0,54793000.0,,,,,,SCHULMAN A INC,8530000.0,8530000.0,,,44618000.0,,,,,,54793000.0,,,,,,,,,,,,,,183125000.0,
